"full_sha","short_sha","date","author","message","parents","changed_file_count","added_line_count","deleted_line_count","main_affected_areas","classification","significance","deep_review_required","related_recovered_decision"
"25ed027da75dd1757121093501f69b09aaac4aea","25ed027","2026-06-29T16:19:22+03:00","Darhous <ahmeddarhous@gmail.com>","docs: update README with Phase 5 features, v2.1.0 changelog, env vars","e2d05712182315ff6f152a68a365c204b067adc9","1","8","2","documentation","Documentation","High or medium","YES","TBD"
"e2d05712182315ff6f152a68a365c204b067adc9","e2d0571","2026-06-29T16:04:30+03:00","Darhous <ahmeddarhous@gmail.com>","chore: add .env* to gitignore + commit vercel env helper script","72a7494bc06f3a580ee80c205b4dcf7988957913","2","16","0",".gitignore; deployment/config","Refactor","High or medium","YES","TBD"
"72a7494bc06f3a580ee80c205b4dcf7988957913","72a7494","2026-06-29T15:58:02+03:00","Darhous <ahmeddarhous@gmail.com>","feat: banner image upload from device + context.md Phase 5 updates","00546fc4988224eaf29bccadf29091ed1fd32e1f","2","40","7","admin-dashboard; documentation","Feature","High or medium","YES","TBD"
"00546fc4988224eaf29bccadf29091ed1fd32e1f","00546fc","2026-06-29T14:17:49+03:00","Darhous <ahmeddarhous@gmail.com>","feat: profile editing, avatar upload, reviews seed, ads guide, AI image prompt","fe3e163f6b0933e9969635bc5801a5b0ef9a338d","12","919","49","admin-dashboard; database/supabase; documentation; scripts; src","Feature","High or medium","YES","TBD"
"fe3e163f6b0933e9969635bc5801a5b0ef9a338d","fe3e163","2026-06-29T13:29:31+03:00","Darhous <ahmeddarhous@gmail.com>","docs: update README, catalog, guide — Phase 4 features documented","ce9f9d06d4227ebe698a00e5d1c85bc77ad6a43f","3","57","13","admin-dashboard; documentation","Documentation","High or medium","YES","TBD"
"ce9f9d06d4227ebe698a00e5d1c85bc77ad6a43f","ce9f9d0","2026-06-29T13:21:36+03:00","Darhous <ahmeddarhous@gmail.com>","feat: Phase 4 — world-class dashboard, checkout prefill, GA4, CSV export, ads guide, handover doc","828986bc90868055a75c74d5c5341dfcc766aa6a","11","1210","84","admin-dashboard; commerce; src","Admin dashboard","High or medium","YES","TBD"
"828986bc90868055a75c74d5c5341dfcc766aa6a","828986b","2026-06-29T12:12:38+03:00","Darhous <ahmeddarhous@gmail.com>","fix: homepage flash deals + banners not rendering","b611b0df548508330d4724f1e23938fd9960b545","1","7","7","storefront/ui","Bug fix","High or medium","YES","TBD"
"b611b0df548508330d4724f1e23938fd9960b545","b611b0d","2026-06-29T04:58:36+03:00","Darhous <ahmeddarhous@gmail.com>","feat: unified signin (admin+customer), role management, remove padlock","443d60d2f28e59d43c2201171facb66756f4c599","7","369","168","admin-dashboard; documentation; src; storefront/ui","Authentication","High or medium","YES","TBD"
"443d60d2f28e59d43c2201171facb66756f4c599","443d60d","2026-06-29T04:43:53+03:00","Darhous <ahmeddarhous@gmail.com>","docs: update context.md to v2.0 — complete Phase 1-3 documentation","ae9d04c8983ee5efb5fd21c884c35329ab33bda6","1","269","127","documentation","Documentation","High or medium","YES","TBD"
"ae9d04c8983ee5efb5fd21c884c35329ab33bda6","ae9d04c","2026-06-29T04:39:11+03:00","Darhous <ahmeddarhous@gmail.com>","fix: flash-deals settings GET/POST format + remove dead dynamic export in client components","a71f23b2ff4a63b37271ee5fd9de8c1f0d8c0b47","3","14","5","admin-dashboard","Bug fix","High or medium","YES","TBD"
"a71f23b2ff4a63b37271ee5fd9de8c1f0d8c0b47","a71f23b","2026-06-29T02:31:04+03:00","Darhous <ahmeddarhous@gmail.com>","feat: Phase 1-3 — admin CRUD complete, customer accounts, shipping fix","a30469e2722996fb949982c3b2d4fdcc88c25c5c","21","1238","254","admin-dashboard; authentication; commerce; database/supabase; src; storefront/ui","Admin dashboard","High or medium","YES","TBD"
"a30469e2722996fb949982c3b2d4fdcc88c25c5c","a30469e","2026-06-29T01:48:26+03:00","Darhous <ahmeddarhous@gmail.com>","feat(ux): hidden admin padlock icon in desktop header + GitHub repo in context MD","ed6dac15de135c0d1d8b6d17689062593ec1fb27","2","11","0","documentation; storefront/ui","Admin dashboard","High or medium","YES","TBD"
"ed6dac15de135c0d1d8b6d17689062593ec1fb27","ed6dac1","2026-06-28T23:25:51+03:00","Darhous <ahmeddarhous@gmail.com>","feat(guide): PDF print page, AI context MD, download buttons","89756a11845b0fe6ac274686ce305434d785fe8a","4","1468","5","admin-dashboard; documentation","Feature","High or medium","YES","TBD"
"89756a11845b0fe6ac274686ce305434d785fe8a","89756a1","2026-06-28T22:22:10+03:00","Darhous <ahmeddarhous@gmail.com>","feat(admin): add comprehensive admin guide + hidden admin entry icon","a38032daad66750cab47541b9b5715680afe14f5","3","823","4","admin-dashboard; storefront/ui","Admin dashboard","High or medium","YES","TBD"
